siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
325175,16,32517500016,O,2000-09-26,NN,,3212ZZ,2024-03-22T15:40:57,false,3,,,,,,,MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI,,,98727,,,,,,,,,,,,,,,,,,,,,,2009-05-27,F,,,,,32.12Z,NAFRev2,N
325175,24,32517500024,O,2008-05-20,NN,,,2025-01-27T02:35:48,false,2,,1,,,,PLACE,LEONCE DE SEYNES,84000,AVIGNON,,,84007,,,,,84007cvsr_B,851150.0982592739,6317267.146094748,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,47.89Z,NAFRev2,N
325175,32,32517500032,O,2009-05-27,NN,,,2025-01-27T02:31:40,false,2,ECONOMIS,6,,,,AVENUE,FRANCOIS MAURIAC,84000,AVIGNON,,,84007,,,,,840072225_B,848084.2366812509,6316548.347114814,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,32.12Z,NAFRev2,N
325175,40,32517500040,O,2011-10-21,NN,,3212ZZ,2024-03-30T05:48:29,false,2,,170,,,,AVENUE,DU COL DE L’ANGE,13420,GEMENOS,,,13042,,,,,130420096_B,913005.2782392878,6245869.653506171,,,,,,,,,,,,,,,2014-01-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N
325175,57,32517500057,O,2014-01-07,NN,,,2024-03-30T05:29:10,false,2,,61,,,,RUE,MARX DORMOY,13004,MARSEILLE,,,13204,,,,,132045859_B,894589.9700529675,6247476.0260883765,,,,,,,,,,,,,,,2018-02-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N
325175,65,32517500065,O,2018-02-07,NN,,,2024-03-30T05:28:55,true,1,,51,,,,RUE,MARX DORMOY,13004,MARSEILLE,,,13204,,,,,132045859_B,894569.8467557925,6247518.1219648,,,,,,,,,,,,,,,2018-02-07,A,,,,,32.12Z,NAFRev2,N
1807254,14,180725400014,O,1972-05-01,NN,,,2024-03-30T03:53:05,false,3,,15,,,,RUE,D'INGLEMUR,54200,TOUL,,,54528,,,,,545280700_B,912923.8817613188,6845494.51299018,,,,,,,,,,,,,,,2008-01-01,F,,,,,95.24Z,NAFRev2,N
1807254,22,180725400022,O,2009-10-01,NN,,,2025-01-27T02:40:26,true,2,,31,,,,RUE,D'ALEMBERT,2100,SAINT-QUENTIN,,,2691,,,,,026910115_B,721307.3780863137,6973973.347916682,,,,,,,,,,,,,,,2014-12-31,F,,,,,85.59A,NAFRev2,N
5410220,15,541022000015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DE HOUDENT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,,,,1988-03-31,F,,,,,22.02,NAP,N
5410345,10,541034500010,O,,NN,,,2024-03-30T16:08:33,true,1,,,,,,ROUTE,DE DOULLENS,80100,ABBEVILLE,,,80001,,,,,800010620_B,617782.5995851721,7001664.069528669,,,,,,,,,,,,,,,1984-12-25,F,,,,,79.06,NAP,N
